StringID     Type         x            y            demand       ReadyTime    DueDate      ServiceTime  PartnerID    
C48          cp           60.0         55.0         40.0         20.0         84.0         9.0          C101
C49          cp           65.0         85.0         40.0         475.0        518.0        9.0          C102
C50          cp           62.0         80.0         40.0         0.0          1108.0       9.0          C103
C51          cp           60.0         80.0         40.0         0.0          1109.0       9.0          C104
C52          cp           60.0         85.0         40.0         561.0        622.0        0.0          C105
C53          cp           58.0         75.0         40.0         0.0          1115.0       9.0          C106
C54          cd           45.0         65.0         -10.0        0.0          1130.0       9.0          C1
C55          cd           35.0         66.0         -10.0        357.0        410.0        9.0          C2
C56          cd           38.0         70.0         -10.0        534.0        605.0        9.0          C3
C57          cd           45.0         70.0         -10.0        0.0          1125.0       9.0          C4
C58          cd           42.0         68.0         -10.0        727.0        782.0        9.0          C5
C59          cd           35.0         69.0         -10.0        448.0        505.0        9.0          C6
C60          cd           48.0         30.0         -10.0        632.0        693.0        9.0          C7
C61          cd           25.0         85.0         -10.0        0.0          1107.0       9.0          C8
C62          cd           22.0         85.0         -10.0        567.0        620.0        9.0          C9
C63          cd           20.0         80.0         -10.0        384.0        429.0        9.0          C10
C64          cd           15.0         80.0         -10.0        278.0        345.0        9.0          C11
C65          cd           30.0         52.0         -10.0        0.0          1135.0       9.0          C12
C66          cd           28.0         52.0         -10.0        812.0        883.0        9.0          C13
C67          cd           25.0         52.0         -10.0        169.0        224.0        9.0          C14
C68          cd           25.0         55.0         -20.0        0.0          1130.0       9.0          C15
C69          cd           20.0         55.0         -20.0        449.0        504.0        9.0          C16
C70          cd           8.0          40.0         -20.0        87.0         158.0        9.0          C17
C71          cd           8.0          45.0         -20.0        0.0          1113.0       9.0          C18
C72          cd           5.0          35.0         -20.0        283.0        344.0        9.0          C19
C73          cd           5.0          45.0         -20.0        665.0        716.0        9.0          C20
C74          cd           35.0         30.0         -20.0        264.0        321.0        9.0          C21
C75          cd           30.0         30.0         -20.0        541.0        600.0        9.0          C22
C76          cd           30.0         35.0         -20.0        1054.0       1127.0       9.0          C23
C77          cd           28.0         30.0         -20.0        0.0          1122.0       9.0          C24
C78          cd           28.0         35.0         -20.0        1001.0       1066.0       9.0          C25
C79          cd           25.0         30.0         -20.0        725.0        786.0        9.0          C26
C80          cd           44.0         5.0          -20.0        286.0        347.0        9.0          C27
C81          cd           40.0         5.0          -20.0        385.0        436.0        9.0          C28
C82          cd           38.0         15.0         -20.0        0.0          1110.0       9.0          C29
C83          cd           35.0         5.0          -20.0        562.0        629.0        9.0          C30
C84          cd           50.0         30.0         -30.0        531.0        610.0        9.0          C31
C85          cd           47.0         35.0         -30.0        826.0        875.0        9.0          C32
C86          cd           45.0         35.0         -30.0        916.0        969.0        9.0          C33
C87          cd           95.0         30.0         -30.0        387.0        456.0        9.0          C34
C88          cd           53.0         30.0         -30.0        0.0          1122.0       9.0          C35
C89          cd           92.0         30.0         -30.0        478.0        551.0        9.0          C36
C90          cd           88.0         30.0         -30.0        574.0        643.0        9.0          C37
C91          cd           85.0         25.0         -30.0        769.0        820.0        9.0          C38
C92          cd           70.0         58.0         -30.0        458.0        523.0        9.0          C39
C93          cd           68.0         60.0         -30.0        0.0          1116.0       9.0          C40
C94          cd           66.0         55.0         -30.0        173.0        238.0        9.0          C41
C95          cd           63.0         58.0         -30.0        737.0        802.0        9.0          C42
C96          cd           60.0         60.0         -30.0        0.0          1123.0       9.0          C43
C97          cd           67.0         85.0         -30.0        368.0        441.0        9.0          C44          
C98          cd           65.0         82.0         -30.0        0.0          1105.0       9.0          C45
C99          cd           55.0         80.0         -30.0        743.0        820.0        9.0          C46
C100         cd           55.0         85.0         -30.0        647.0        726.0        9.0          C47
C101         cd           60.0         85.0         -30.0        561.0        622.0        9.0          C48
C102         cd           45.0         30.0         -30.0        734.0        777.0        9.0          C49
C103         cd           23.0         55.0         -30.0        546.0        593.0        9.0          C50
C104         cd           0.0          45.0         -30.0        567.0        624.0        9.0          C51
C105         cd           88.0         35.0         -30.0        109.0        170.0        9.0          C52
C106         cd           26.0         32.0         -30.0        0.0          1123.0       9.0          C53

VehicleCount : 10
VehiclePerCapacity:   60
VehicleMaxTrolleyCount : 3
TrolleyImpactRate : 20
EarlinessPenalty : 10
TardinessPenalty : 10
