StringID     Type         x            y            demand       ReadyTime    DueDate      ServiceTime  PartnerID
C55          cd           44.0         90.0         -65.0        90.0         710.0        70.0         C2
C56          cd           48.0         90.0         -65.0        90.0         1010.0       55.0         C3
C57          cd           44.0         85.0         -55.0        90.0         430.0        55.0         C4
C58          cd           44.0         85.0         -75.0        660.0        930.0        70.0         C5
C59          cd           30.0         54.0         -40.0        310.0        730.0        55.0         C6
C60          cd           28.0         50.0         -55.0        170.0        230.0        55.0         C7
C61          cd           25.0         50.0         -50.0        310.0        890.0        70.0         C8
C62          cd           33.0         54.0         -75.0        160.0        250.0        55.0         C9
C63          cd           43.0         73.0         -85.0        310.0        1070.0       55.0         C10
C64          cd           28.0         73.0         -70.0        410.0        1570.0       55.0         C11
C65          cd           30.0         77.0         -35.0        510.0        1410.0       55.0         C12
C66          cd           30.0         54.0         -85.0        560.0        700.0        55.0         C13
C67          cd           28.0         58.0         -80.0        0.0          680.0        70.0         C14
C68          cd           30.0         85.0         -75.0        110.0        700.0        55.0         C15
C69          cd           25.0         54.0         -45.0        0.0          1010.0       55.0         C16
C70          cd           20.0         85.0         -40.0        0.0          390.0        55.0         C17
C71          cd           28.0         77.0         -75.0        1240.0       1690.0       55.0         C18
C72          cd           50.0         70.0         -75.0        0.0          1890.0       70.0         C19
C73          cd           40.0         70.0         -80.0        0.0          1810.0       55.0         C20
C74          cd           43.0         77.0         -30.0        0.0          370.0        70.0         C21
C75          cd           40.0         77.0         -75.0        0.0          1970.0       55.0         C22
C76          cd           30.0         73.0         -35.0        0.0          390.0        70.0         C23
C77          cd           25.0         73.0         -65.0        0.0          1930.0       55.0         C24
C78          cd           28.0         85.0         -65.0        0.0          600.0        55.0         C25
C79          cd           25.0         90.0         -80.0        0.0          1290.0       70.0         C26
C80          cd           25.0         44.0         -60.0        0.0          1850.0       55.0         C27
C81          cd           20.0         85.0         -30.0        420.0        570.0        55.0         C28
C82          cd           20.0         85.0         -50.0        660.0        710.0        55.0         C29
C83          cd           33.0         77.0         -30.0        0.0          290.0        70.0         C30
C84          cd           23.0         50.0         -50.0        0.0          1230.0       55.0         C31
C85          cd           25.0         58.0         -85.0        220.0        910.0        55.0         C32
C86          cd           33.0         73.0         -85.0        960.0        1550.0       55.0         C33
C87          cd           30.0         44.0         -35.0        0.0          310.0        55.0         C34
C88          cd           33.0         77.0         -60.0        530.0        850.0        70.0         C35
C89          cd           23.0         77.0         -65.0        0.0          1530.0       70.0         C36
C90          cd           45.0         77.0         -70.0        0.0          1530.0       70.0         C37
C91          cd           25.0         58.0         -85.0        540.0        690.0        55.0         C38
C92          cd           30.0         44.0         -40.0        300.0        420.0        55.0         C39
C93          cd           20.0         70.0         -85.0        0.0          1770.0       55.0         C40
C94          cd           40.0         73.0         -45.0        0.0          1770.0       70.0         C41
C95          cd           44.0         90.0         -85.0        380.0        530.0        55.0         C42
C96          cd           25.0         70.0         -35.0        0.0          1010.0       55.0         C43
C97          cd           28.0         85.0         -40.0        580.0        710.0        70.0         C44
C98          cd           30.0         73.0         -30.0        400.0        590.0        55.0         C45
C99          cd           25.0         50.0         -75.0        820.0        1070.0       70.0         C46
C100         cd           28.0         54.0         -35.0        0.0          530.0        55.0         C47
C101         cd           28.0         54.0         -80.0        490.0        620.0        55.0         C48
C102         cd           25.0         85.0         -50.0        0.0          630.0        55.0         C49
C103         cd           43.0         77.0         -70.0        310.0        390.0        55.0         C50
C104         cd           28.0         58.0         -80.0        390.0        450.0        55.0         C51
C105         cd           47.0         73.0         -35.0        0.0          550.0        70.0         C52
C106         cd           20.0         80.0         -35.0        0.0          570.0        70.0         C53
C107         cp           -12.0        79.0         60.0         0.0          0.0          70.0         C160
C108         cp           -30.0        45.0         65.0         0.0          0.0          55.0         C161
C109         cp           -13.0        64.0         65.0         0.0          0.0          55.0         C162
C110         cp           -12.0        93.0         55.0         0.0          0.0          55.0         C163
C111         cp           -57.0        48.0         75.0         0.0          0.0          55.0         C164
C112         cp           -17.0        30.0         40.0         0.0          0.0          70.0         C165
C113         cp           -11.0        53.0         55.0         0.0          0.0          55.0         C166
C114         cp           -42.0        63.0         50.0         0.0          0.0          55.0         C167
C115         cp           -54.0        75.0         75.0         0.0          0.0          55.0         C168
C116         cp           -31.0        42.0         85.0         0.0          0.0          70.0         C169
C117         cp           -17.0        53.0         70.0         0.0          0.0          55.0         C170
C118         cp           -41.0        89.0         35.0         0.0          0.0          55.0         C171
C119         cp           -33.0        79.0         85.0         0.0          0.0          55.0         C172
C120         cp           -24.0        48.0         80.0         0.0          0.0          70.0         C173
C121         cp           -18.0        92.0         75.0         0.0          0.0          70.0         C174
C122         cp           -11.0        92.0         45.0         0.0          0.0          70.0         C175
C123         cp           -48.0        96.0         40.0         0.0          0.0          55.0         C176
C124         cp           -18.0        93.0         75.0         0.0          0.0          55.0         C177
C125         cp           30.0         59.0         75.0         0.0          0.0          55.0         C178
C126         cp           -24.0        84.0         80.0         0.0          0.0          55.0         C179
C127         cp           -28.0        88.0         30.0         0.0          0.0          70.0         C180
C128         cp           -56.0        81.0         75.0         0.0          0.0          55.0         C181
C129         cp           -60.0        66.0         35.0         0.0          0.0          55.0         C182
C130         cp           -37.0        36.0         65.0         0.0          0.0          70.0         C183
C131         cp           -13.0        82.0         65.0         0.0          0.0          55.0         C184
C132         cp           -16.0        61.0         80.0         0.0          0.0          70.0         C185
C133         cp           10.0         78.0         60.0         0.0          0.0          55.0         C186
C134         cp           -16.0        37.0         30.0         0.0          0.0          55.0         C187
C135         cp           -28.0        77.0         50.0         0.0          0.0          55.0         C188
C136         cp           -34.0        44.0         30.0         0.0          0.0          55.0         C189
C137         cp           -29.0        61.0         50.0         0.0          0.0          70.0         C190
C138         cp           -14.0        43.0         85.0         0.0          0.0          55.0         C191
C139         cp           -51.0        57.0         85.0         0.0          0.0          55.0         C192
C140         cp           -29.0        71.0         35.0         0.0          0.0          55.0         C193
C141         cp           -46.0        93.0         60.0         0.0          0.0          55.0         C194
C142         cp           -17.0        82.0         65.0         0.0          0.0          70.0         C195
C143         cp           -46.0        91.0         70.0         0.0          0.0          55.0         C196
C144         cp           -41.0        93.0         85.0         0.0          0.0          70.0         C197
C145         cp           -45.0        62.0         40.0         0.0          0.0          55.0         C198
C146         cp           -19.0        50.0         85.0         0.0          0.0          55.0         C199
C147         cp           -1.0         26.0         45.0         0.0          0.0          70.0         C200
C148         cp           -18.0        45.0         85.0         0.0          0.0          55.0         C201
C149         cp           -17.0        91.0         35.0         0.0          0.0          70.0         C202
C150         cp           -25.0        89.0         40.0         0.0          0.0          70.0         C203
C151         cp           -17.0        72.0         30.0         0.0          0.0          55.0         C204
C152         cp           16.0         43.0         75.0         0.0          0.0          55.0         C205
C153         cp           -45.0        89.0         35.0         0.0          0.0          55.0         C206
C154         cp           17.0         81.0         80.0         0.0          0.0          70.0         C207
C155         cp           -17.0        71.0         50.0         0.0          0.0          55.0         C208
C156         cp           -10.0        94.0         70.0         0.0          0.0          55.0         C209
C157         cp           -21.0        83.0         80.0         0.0          0.0          70.0         C210
C158         cp           -46.0        79.0         35.0         0.0          0.0          55.0         C211
C159         cp           -30.0        92.0         35.0         0.0          0.0          70.0         C216
C160         cd           -44.0        54.0         -60.0        180.0        4950.0       55.0         C107
C161         cd           -41.0        59.0         -65.0        150.0        2130.0       70.0         C108
C162         cd           -20.0        19.0         -65.0        160.0        3030.0       55.0         C109
C163         cd           -21.0        88.0         -55.0        170.0        1290.0       55.0         C110
C164         cd           -12.0        92.0         -75.0        1060.0       2790.0       70.0         C111
C165         cd           -23.0        48.0         -40.0        610.0        2190.0       55.0         C112
C166         cd           -54.0        54.0         -55.0        270.0        690.0        55.0         C113
C167         cd           -54.0        59.0         -50.0        510.0        2670.0       70.0         C114
C168         cd           -29.0        72.0         -75.0        260.0        750.0        55.0         C115
C169         cd           -67.0        67.0         -85.0        510.0        3210.0       55.0         C116
C170         cd           -23.0        83.0         -70.0        810.0        4710.0       55.0         C117
C171         cd           -52.0        62.0         -35.0        1010.0       4230.0       55.0         C118
C172         cd           -10.0        98.0         -85.0        1060.0       2100.0       55.0         C119
C173         cd           -10.0        84.0         -80.0        0.0          2040.0       70.0         C120
C174         cd           -39.0        85.0         -75.0        210.0        2100.0       55.0         C121
C175         cd           -11.0        98.0         -45.0        0.0          3030.0       55.0         C122
C176         cd           -15.0        50.0         -40.0        0.0          1170.0       55.0         C123
C177         cd           -53.0        82.0         -75.0        2340.0       5070.0       55.0         C124
C178         cd           -22.0        49.0         -75.0        0.0          5670.0       70.0         C125
C179         cd           -47.0        66.0         -80.0        0.0          5430.0       55.0         C126
C180         cd           -12.0        29.0         -30.0        0.0          1110.0       70.0         C127
C181         cd           -42.0        82.0         -75.0        0.0          5910.0       55.0         C128
C182         cd           -21.0        82.0         -35.0        0.0          1170.0       70.0         C129
C183         cd           -13.0        57.0         -65.0        0.0          5790.0       55.0         C130
C184         cd           -11.0        49.0         -65.0        0.0          1800.0       55.0         C131
C185         cd           -44.0        50.0         -80.0        0.0          3870.0       70.0         C132
C186         cd           -31.0        82.0         -60.0        0.0          5550.0       55.0         C133
C187         cd           -46.0        23.0         -30.0        820.0        1710.0       55.0         C134
C188         cd           -16.0        84.0         -50.0        1260.0       2130.0       55.0         C135
C189         cd           -38.0        25.0         -30.0        0.0          870.0        70.0         C136
C190         cd           10.0         73.0         -50.0        0.0          3690.0       55.0         C137
C191         cd           -58.0        10.0         -85.0        420.0        2730.0       55.0         C138
C192         cd           -45.0        62.0         -85.0        1760.0       4650.0       55.0         C139
C193         cd           -32.0        48.0         -35.0        0.0          930.0        55.0         C140
C194         cd           -15.0        62.0         -60.0        1030.0       2550.0       70.0         C141
C195         cd           -18.0        95.0         -65.0        0.0          4590.0       70.0         C142
C196         cd           -44.0        50.0         -70.0        0.0          4590.0       70.0         C143
C197         cd           -41.0        70.0         -85.0        1040.0       2070.0       55.0         C144
C198         cd           -18.0        92.0         -40.0        600.0        1260.0       55.0         C145
C199         cd           -33.0        40.0         -85.0        0.0          5310.0       55.0         C146
C200         cd           -32.0        43.0         -45.0        0.0          5310.0       70.0         C147
C201         cd           -53.0        74.0         -85.0        680.0        1590.0       55.0         C148
C202         cd           -40.0        97.0         -35.0        0.0          3030.0       55.0         C149
C203         cd           -10.0        95.0         -40.0        1080.0       2130.0       70.0         C150
C204         cd           -20.0        52.0         -30.0        800.0        1770.0       55.0         C151
C205         cd           -10.0        26.0         -75.0        1620.0       3210.0       70.0         C152
C206         cd           -50.0        85.0         -35.0        0.0          1590.0       55.0         C153
C207         cd           -53.0        50.0         -80.0        890.0        1860.0       55.0         C154
C208         cd           -40.0        82.0         -50.0        0.0          1890.0       55.0         C155
C209         cd           -10.0        23.0         -70.0        610.0        1170.0       55.0         C156
C210         cd           -20.0        84.0         -80.0        690.0        1350.0       55.0         C157
C211         cd           -10.0        25.0         -35.0        0.0          1650.0       70.0         C158
C216         cd           -50.0        73.0         -35.0        0.0          1710.0       70.0         C159

VehicleCount : 10
VehiclePerCapacity:   60
VehicleMaxTrolleyCount : 3
TrolleyImpactRate :  30
EarlinessPenalty : 20
TardinessPenalty : 20
